Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,CO,0.34311
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,NOX,0.005845
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,VOC,0.062709
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,NH3,0.002819
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,SO2,0.000976
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,PM10,0.049439
Area,49001,Beaver,2104008010,Residential,Woodstoves: General,PM2_5,0.04937
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,CO,0.010631
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,NOX,0.000204
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,VOC,0.001526
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,NH3,0.000092
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,SO2,0.000041
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,PM10,0.002075
Area,49001,Beaver,2104008030,Residential,Catalytic Woodstoves: General,PM2_5,0.002075
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,CO,0.000437
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,NOX,0.000971
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,VOC,0.000004
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,NH3,0.000003
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,SO2,0.002683
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,PM10,0.001151
Area,49003,Box Elder,2103002000,Commercial/Institutional,Total: All Boiler Types,PM2_5,0.000215
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,CO,0.001232
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,NOX,0.004921
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,VOC,0.000083
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,NH3,0.000197
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,SO2,0.010629
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,PM10,0.000585
Area,49003,Box Elder,2103004000,Commercial/Institutional,Total: Boilers and IC Engines,PM2_5,0.000524
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,CO,0.000386
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,NOX,0.004035
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,VOC,0.000083
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,NH3,0.000059
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,SO2,0.0035
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,PM10,0.000378
Area,49003,Box Elder,2103005000,Commercial/Institutional,Total: All Boiler Types,PM2_5,0.00021
Area,49003,Box Elder,2103006000,Commercial/Institutional,Total: Boilers and IC Engines,CO,0.48644
Area,49003,Box Elder,2103006000,Commercial/Institutional,Total: Boilers and IC Engines,NOX,0.5791
Area,49003,Box Elder,2103006000,Commercial/Institutional,Total: Boilers and IC Engines,VOC,0.03185
