,Day,,,,,,,,,Last week,,,,,,,Day of Week,,,,,,
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,Avg time,Avg Percent,Avg Spacing,Avg dB,Total >60 dB,Total >50 dB,Day of Week,dB,Time,%,#,>50,>60,
8/1,4m 13s,7.02777777777778,,0:04:17,,,,,36,,,,,,,Friday,,,,,,,1h
8/2,6m 34s,10.9444444444444,,0:02:51,,,,,36,,,,,,,Saturday,,,,,,,
8/3,1m 16s,2.11111111111111,,0:06:00,,,,,36,,,,,,,Sunday,,,,,,,
8/4,0m 35s,0.972222222222222,,0:15:00,,,,,36,,,,,,,Monday,,,,,,,
8/5,1m 40s,2.77777777777778,,0:06:40,,,,,36,,,,,,,Tuesday,,,,,,,
8/6,4m 47s,7.97222222222222,,0:02:44,,,,,36,,,,,,,Wednesday,,,,,,,
8/7,3m 42s,6.16666666666667,19,0h 3m 9s 474ms,,,31,58,94,3m 15s,5.42460317460317,0:05:49,,,,Thursday,,,,,,,
8/8,3m 17s,5.47222222222222,15,0h 4m,,,44,63,99,3m 7s,5.20238095238095,0:05:46,96.5,,,Friday,,,,,,,
8/9,2m 43s,4.52777777777778,15,0h 4m,,,35,59,95,2m 34s,4.28571428571429,0:05:56,96,,,Saturday,,,,,,,
8/10,5m 4s,8.44444444444444,8,0h 7m 30s,,,122,68,104,3m 7s,5.19047619047619,0:06:09,98,,,Sunday,,,,,,,
8/11,2m 58s,4.94444444444444,13,0h 4m 36s 923ms,,,36,66,102,3m 27s,5.75793650793651,0:04:40,98.8,,,Monday,,,,,,,
8/12,4m 23s,7.30555555555556,16,0h 3m 45s,,,63,62,98,3m 51s,6.4047619047619,0:04:15,98.6666666666667,,,Tuesday,,,,,,,
8/13,2m 21s,3.91666666666667,12,0h 5m,,,28,63,99,3m 30s,5.82539682539683,0:04:34,98.7142857142857,,,Wednesday,,,,,,,
8/14,0m 58s,1.61111111111111,6,0h 10m,,,13,50,86,3m 6s,5.17460317460317,0:05:33,97.5714285714286,,,Thursday,,,,,,,
8/15,3m 20s,5.55555555555556,17,0h 3m 31s 765ms,,,34,68,104,3m 7s,5.18650793650794,0:05:29,98.2857142857143,,,Friday,,,,,,,
8/16,3m 45s,10.986328125,11,3m 6s 182ms,,,78,65,101,3m 16s,6.10915798611111,0:05:21,99.1428571428571,,,Saturday,,,,,,,34m 8s
8/17,0m 26s,0.722222222222222,3,0h 20m,,,12,47,83,2m 36s,5.00598338293651,0:07:09,96.1428571428571,,,Sunday,,,,,,,
8/18,1m 19s,2.19444444444444,5,0h 12m,,,32,49,85,2m 22s,4.61312624007937,0:08:12,93.7142857142857,,,Monday,,,,,,,
8/19,2m 25s,4.02777777777778,10,0h 6m,1,1,30,61,97,2m 5s,4.1448722718254,0:08:31,93.5714285714286,,,Tuesday,,,,,,,
8/20,2m 48s,4.66666666666667,11,0h 5m 27s 273ms,1,1,56,65,101,2m 9s,4.25201512896825,0:08:35,93.8571428571429,,,Wednesday,,,,,,,
8/21,1m 43s,2.86111111111111,7,0h 8m 34s 286ms,0,1,42,54,90,2m 15s,4.43058655753968,0:08:23,94.4285714285714,,,Thursday,,,,,,,
8/22,2m 59s,4.97222222222222,16,0h 3m 45s,0,1,44,56,92,2m 12s,4.34725322420635,0:08:25,92.7142857142857,,,Friday,,,,,,,
8/23,4m 20s,7.22222222222222,16,0h 3m 45s,1,1,68,63,99,2m 17s,3.80952380952381,0:08:30,92.4285714285714,,,Saturday,,,,,,,
8/24,2m 46s,4.61111111111111,8,0h 7m 30s,0,1,47,58,94,2m 37s,4.36507936507936,0:06:43,94,,,Sunday,,,,,,,
8/25,2m 59s,4.97222222222222,10,0h 6m,1,1,50,71,107,2m 51s,4.76190476190476,0:05:52,97.1428571428571,,,Monday,,,,,,,
8/26,5m 31s,9.19444444444444,15,0h 4m,1,1,42,64,100,3m 18s,5.5,0:05:35,97.5714285714286,,,Tuesday,,,,,,,
8/27,1m 6s,1.83333333333333,6,0h 10m,0,1,19,52,88,3m 3s,5.09523809523809,0:06:13,95.7142857142857,3,7,Wednesday,,,,,,,
8/28,3m 36s,6,11,0h 5m 27s 273ms,1,1,54,60,96,3m 20s,5.54365079365079,0:05:47,96.5714285714286,4,7,Thursday,,,,,,,
8/29,4m 43s,7.86111111111111,14,0h 4m 17s 143ms,1,1,41,60,96,3m 34s,5.9563492063492,0:05:51,97.1428571428571,5,7,Friday,,,,,,,
8/30,6m 44s,11.2222222222222,22,0h 2m 43s 636ms,2,2,65,66,102,3m 55s,6.52777777777777,0:05:43,97.5714285714286,6,8,Saturday,,,,,,,
8/31,6m 12s,10.3333333333333,15,0h 4m,0,1,100,58,94,4m 24s,7.34523809523809,0:05:13,97.5714285714286,6,8,Sunday,,,,,,,
9/1,0m 53s,1.47222222222222,4,0h 15m,0,1,27,56,92,3m 11s,5.46571858723958,0:06:24,84.8125,9,15,Monday,,,,,,,1h
9/2,1m 22s,2.27777777777778,4,0h 15m,0,1,30,58,94,3m 8s,5.36911432028619,0:06:39,85.0909090909091,9,16,Tuesday,,,,,,,
9/3,1m 4s,1.77777777777778,5,0h 12m,0,1,22,53,89,3m 4s,5.2634867749183,0:06:49,85.2058823529412,9,17,Wednesday,57.2380952380952,,,,,,
9/4,2m 40s,4.44444444444444,11,0h 5m 27s 273ms,0,1,34,54,90,3m 4s,5.24008556547619,0:06:47,85.3428571428571,9,18,Thursday,56.5652173913043,,,,,,
9/5,2m 39s,4.41666666666667,9,0h 6m 40s,1,1,44,61,97,3m 3s,5.21721281828703,0:06:46,85.6666666666667,10,19,Friday,57.6,,,,,,
9/6,5m 2s,8.38888888888889,12,0h 5m,0,1,103,57,93,3m 6s,5.30293379316817,0:06:43,85.8648648648649,10,20,Saturday,59.0975609756098,,,,,,
9/7,3m 25s,5.69444444444444,12,0h 5m,0,1,42,55,91,2m 26s,4.06746031746032,0:09:10,92.2857142857143,1,7,Sunday,57.4666666666667,,,,,,
9/8,1m 50s,3.05555555555556,6,0h 10m,0,1,29,59,95,2m 35s,4.29365079365079,0:08:27,92.7142857142857,1,7,Monday,55.6041666666667,,,,,,
9/9,1m 23s,2.30555555555556,8,0h 7m 30s,0,2,19,53,89,2m 35s,4.29761904761905,0:07:22,92,1,8,Tuesday,55.6888888888889,,,,,,
9/10,2m 0s,3.33333333333333,9,0h 6m 40s,1,2,34,64,100,2m 43s,4.51984126984127,0:06:37,93.5714285714286,2,9,Wednesday,57.2380952380952,,,,,,
9/11,2m 50s,4.72222222222222,12,0h 5m,1,3,83,62,98,2m 44s,4.55952380952381,0:06:33,94.7142857142857,3,11,Thursday,56.5652173913043,,,,,,
9/12,5m 37s,9.36111111111111,21,0h 2m 51s 429ms,2,6,65,72,108,3m 10s,5.26587301587302,0:06:00,96.2857142857143,4,16,Friday,57.6,,,,,,
