Date,Time,Time on hold,Time on call,# noises on hold,# noises on call,Response,Time from call to response,Did they find anyone?,Average time to response,% incidents responded to
9/18,9/18/2025 9:06:00 PM,3m 15s,6m 3s,2,4,9/19/2025 8:04:00 AM,10h 58m,NO,10h 58m,1
9/19,9/19/2025 1:14:00 PM,2m,3m 54s,0,0,9/20/2025 8:03:00 AM,18h 49m,NO,14h 53m 30s,1
9/19,9/19/2025 8:20:00 PM,1m,2m 51s,0,0,9/20/2025 3:10:00 PM,18h 50m,NO,16h 12m 20s,1
9/20,9/20/2025 1:14:00 PM,1m,2m 48s,0,0,,,,16h 12m 20s,0.75
9/21,9/21/2025 5:20:00 PM,1m 42s,4m 29s,0,0,,,,16h 12m 20s,0.6
9/23,9/23/2025 1:27:00 PM,1m,3m 15s,0,0,,,,16h 12m 20s,0.5
9/24/2025,9/24/2025 9:40:00 PM,1m 30s,1m 59s,0,0,,,,16h 12m 20s,0.428571428571429
10/5/2025,10/5/2025 10:23:00 PM,1m,2m 27s,0,0,,,,16h 12m 20s,0.375
10/8/2025,10/8/2025 9:40:00 PM,1m,2m 45s,0,0,,,,16h 12m 20s,0.333333333333333
10/28/2025,10/28/2025 12:52:00 PM,2m 30s,5m 14s,0,0,10/28/25 8:00:00PM,7h 8m,NO,13h 56m 15s,0.4
11/2/2025,11/2/2025 9:56PM,2m 40s,5m 4s,0,0,,,,13h 56m 15s,0.363636363636364
11/10/2025,11/10/2025 6:01PM,1m 30s,3m 40s,0,0,,,,13h 56m 15s,0.333333333333333
11/29/2025,11/29/2025 11:44AM,1m 30s,3m 50s,0,0,,,,13h 56m 15s,0.307692307692308
12/1/2025,12/1/2025 4:10PM,1m,4m 35s,1,1,,,,13h 56m 15s,0.285714285714286
12/4/2025,12/4/2025 11:02:00 AM,1m,3m,0,0,12/4/2025 12:20PM,1h 18m,NO,11h 24m 36s,0.333333333333333
12/11/2025,12/11/2025 7:28PM,1m 25s,4m 31s,0,0,12/11/2025 7:56PM,28m,NO,9h 35m 10s,0.375
12/23/2025,12/23/2025 9:15PM,1m 15s,2m 45s,0,1,,,,9h 35m 10s,0.352941176470588
12/24/2025,12/24/2025 2:33PM,1m 30s,4m 15s,0,1,12/24/2025 4:26:00 PM,1h 53m,NO,8h 29m 8s 571ms,0.388888888888889
1/8/2026,1/8/2026 9PM,1m,2m 32s,2,3,,,,8h 29m 8s 571ms,0.368421052631579
1/9/2026,1/9/2026 7:32PM,58s,3m 56s,3,3,1/10/2026 8:03AM,12h 31m,NO,8h 59m 22s 500ms,0.4
1/10/2026,1/10/2026 5:44PM,58s,3m 9s,3,4,,,,8h 59m 22s 500ms,0.380952380952381
1/23/2026,1/23/2026 7:33:00 PM,1m,3m,0,2,,,,8h 59m 22s 500ms,0.363636363636364
2/8/2026,2/8/2026 9:36PM,53m,3m 19s,0,1,,,,8h 59m 22s 500ms,0.347826086956522
2/15/2026,2/15/2026 9:53:00 AM,13m 56s,17m,36,45,2/15/2026 3:12:00 PM,5h 19m,NO,8h 34m 53s 333ms,0.375
3/15/2026,3/15/2026 11:28AM,1m,4m 40s,0,2,,,,8h 34m 53s 333ms,0.36
3/27/2026,3/27/2026 7:47PM,1m 10s,3m 30s,0,1,,,,8h 34m 53s 333ms,0.346153846153846
4/11/2026,4/11/2026 11:29PM,1m 30s,3m 12s,1,2,4/12/2026 8:03:00 AM,8h 34m,NO,8h 34m 48s,0.37037037037037
4/19/2026,4/19/2026 10:29PM,56s,2m 12s,2,2,4/20/2026 8:08AM,9h 39m,NO,8h 40m 38s 182ms,0.392857142857143
4/24/2026,4/24/2026 9:01:00 PM,1m 3s,5m 38s,2,6,4/25/2026 8:05AM,11h 4m,NO,8h 52m 35s,0.413793103448276
5/8/2026,5/8/2026 11:28PM,1m 45s,3m 26s,1,3,,,,,
8/16/2026,8/16/2026 11:34PM,1m 10s,5m 33s,5,18,8/17/2026 8:05AM,8h 31m,,8h 50m 55s 385ms,0.419354838709677
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"8,2",,,,,,,,,
